name,blockNum,start(seconds)
startFromBeginning_sessid2,PreTest,17:41:38
startFromBeginning_sessid2,Repeated_run-01,17:58:00
startFromBeginning_sessid2,Repeated_run-02,18:06:25
startFromBeginning_sessid2,Repeated_run-03,18:13:27
startFromBeginning_sessid2,Repeated_run-04,18:19:05
startFromBeginning_sessid2,Repeated_run-05,18:24:08
startFromBeginning_sessid2,Repeated_run-06,18:29:24
startFromBeginning_sessid2,PostTest,18:34:41
startFromBeginning_sessid2,PostExposure,18:46:19
startFromBeginning_sessid3,PreTest,16:06:08
startFromBeginning_sessid3,Repeated_run-01,16:28:02
startFromBeginning_sessid3,Repeated_run-02,16:36:45
startFromBeginning_sessid3,Repeated_run-03,16:44:09
startFromBeginning_sessid3,Repeated_run-04,16:50:16
startFromBeginning_sessid3,Repeated_run-05,16:56:42
startFromBeginning_sessid3,Repeated_run-06,17:02:23
startFromBeginning_sessid3,PostTest,17:08:30
startFromBeginning_sessid3,PostExposure,17:20:58
sessid4,PreTest,20:04:00
sessid4,Repeated_run-01,20:49:55
sessid4,Repeated_run-02,20:09:19
sessid4,Repeated_run-03,21:18:57
sessid4,Repeated_run-04,21:26:23
sessid4,Repeated_run-05,21:32:44
sessid4,Repeated_run-06,21:39:01
sessid4,PostTest,21:44:56
sessid4,PostExposure,21:59:13
sessid5,PreTest,14:58:10
sessid5,Repeated_run-01,15:18:30
sessid5,Repeated_run-02,15:25:44
sessid5,Repeated_run-03,15:31:46
sessid5,Repeated_run-04,15:37:58
sessid5,Repeated_run-05,15:43:11
sessid5,Repeated_run-06,15:48:38
sessid5,PostTest,15:54:12
sessid5,PostExposure,16:06:05
sessid6,PreTest,17:03:48
sessid6,Repeated_run-01,17:21:50
sessid6,Repeated_run-02,17:31:18
sessid6,Repeated_run-03,17:39:22
sessid6,Repeated_run-04,17:46:26
sessid6,Repeated_run-05,17:52:51
sessid6,Repeated_run-06,17:59:05
sessid6,PostTest,17:04:53
sessid6,PostExposure,18:16:59
sessid7,PreTest,17:45:10
sessid7,Repeated_run-01,18:11:10
sessid7,Repeated_run-02,18:21:42
sessid7,Repeated_run-03,18:29:34
sessid7,Repeated_run-04,18:37:30
sessid7,Repeated_run-05,18:45:15
sessid7,Repeated_run-06,18:51:55
sessid7,PostTest,18:58:45
sessid7,PostExposure,19:12:29
sessid8,PreTest,14:13:18
sessid8,Repeated_run-01,14:39:16
sessid8,Repeated_run-02,14:54:27
sessid8,Repeated_run-03,15:02:24
sessid8,Repeated_run-04,15:08:41
sessid8,Repeated_run-05,15:15:16
sessid8,Repeated_run-06,15:20:56
sessid8,PostTest,15:27:07
sessid8,PostExposure,15:44:50
sessid9,PreTest,22:30:37
sessid9,Repeated_run-01,23:09:16
sessid9,Repeated_run-02,23:18:55
sessid9,Repeated_run-03,23:26:00
sessid9,Repeated_run-04,23:32:57
sessid9,Repeated_run-05,23:39:00
sessid9,Repeated_run-06,23:44:20
sessid9,PostTest,23:50:04
sessid9,PostExposure,0:04:18
sessid10,PreTest,18:34:17
sessid10,Repeated_run-01,19:59:49
sessid10,Repeated_run-02,19:07:02
sessid10,Repeated_run-03,19:15:31
sessid10,Repeated_run-04,19:22:05
sessid10,Repeated_run-05,19:28:25
sessid10,Repeated_run-06,19:34:08
sessid10,PostTest,19:39:45
sessid10,PostExposure,19:45:14
sessid11,PreTest,14:58:29
sessid11,Repeated_run-01,16:05:14
sessid11,Repeated_run-02,16:26:34
sessid11,Repeated_run-03,16:37:47
sessid11,Repeated_run-04,16:44:50
sessid11,Repeated_run-05,16:51:39
sessid11,Repeated_run-06,16:57:29
sessid11,PostTest,17:04:32
sessid11,PostExposure,17:20:15
sessid12,PreTest,20:26:41
sessid12,Repeated_run-01,20:59:36
sessid12,Repeated_run-02,21:10:35
sessid12,Repeated_run-03,21:17:26
sessid12,Repeated_run-04,21:24:13
sessid12,Repeated_run-05,21:29:34
sessid12,Repeated_run-06,21:34:41
sessid12,PostTest,21:40:08
sessid12,PostExposure,21:54:39
sessid13,PreTest,14:41:48
sessid13,Repeated_run-01,15:34:33
sessid13,Repeated_run-02,15:45:31
sessid13,Repeated_run-03,15:55:11
sessid13,Repeated_run-04,16:01:51
sessid13,Repeated_run-05,16:08:52
sessid13,Repeated_run-06,16:14:24
sessid13,PostTest,16:21:00
sessid13,PostExposure,16:34:28
sessid14,PreTest,17:48:22
sessid14,Repeated_run-01,18:09:07
sessid14,Repeated_run-02,18:17:45
sessid14,Repeated_run-03,18:24:33
sessid14,Repeated_run-04,18:31:39
sessid14,Repeated_run-05,18:37:41
sessid14,Repeated_run-06,18:44:29
sessid14,PostTest,18:50:19
sessid14,PostExposure,19:05:28
sessid15,PreTest,20:13:15
sessid15,Repeated_run-01,20:39:29
sessid15,Repeated_run-02,20:50:06
sessid15,Repeated_run-03,20:59:24
sessid15,Repeated_run-04,21:06:48
sessid15,Repeated_run-05,21:12:32
sessid15,Repeated_run-06,21:19:51
sessid15,PostTest,21:25:26
sessid15,PostExposure,21:40:31
sessid16,PreTest,15:04:19
sessid16,Repeated_run-01,15:30:05
sessid16,Repeated_run-02,15:37:08
sessid16,Repeated_run-03,15:42:42
sessid16,Repeated_run-04,15:48:19
sessid16,Repeated_run-05,15:54:21
sessid16,Repeated_run-06,16:00:59
sessid16,PostTest,16:06:52
sessid16,PostExposure,16:18:43
